Symbol,Oclc symbol,Library type,Library type,Name,Web address,Street address,Postal address,Email,Main phone number,NZ int scheme member,Te Puna int member,IBS member,Status in NZ IL Scheme,Manager,Manager email,Interloan librarian,Phone interloan,Email interloan,Notes
ADYM,NZEDZ,Special,Library,ATMC NZ Library Services,http://library.atmc.ac.nz,"85 Airedale Street
Auckland CBD
Auckland 1010
New Zealand","PO Box 7201
Wellesley St
Auckland 1141
New Zealand",library@atmc.ac.nz,+64 9 309 5208 x305,false,false,false,TBA,,,,,,"Open Mon, Tues, Thurs, Fri."
AART,AUAAR,Special,Library,"E H McCormick Research Library, Auckland Art Gallery",https://www.aucklandartgallery.com/art-ideas/e-h-mccormick-library,"cnr Wellesley and Kitchener Streets
Auckland 1010
New Zealand","PO Box 5449
Wellesley Street
Auckland 1141
New Zealand",library@aucklandartgallery.com,+64 9 890 2221,true,false,false,Charter,Philippa Robinson,philippa.robinson@aucklandartgallery.com,Philippa Robinson,+64 9 890 2221,philippa.robinson@aucklandartgallery.com,Last updated: 25/06/2025
ACS,NACS,,Music hire,Auckland Choral,http://www.aucklandchoral.com,"Victoria St West
Auckland 1142
New Zealand","PO Box 7228
Victoria St West
Auckland 1142
New Zealand",annwhitehouse@yahoo.co.nz,+64 9 576 7280,false,false,false,TBA,ACS Hire,annwhitehouse@yahoo.co.nz,,,,Manager: Carey McDonald ph +64 9 358 2892
ADHB,,Special,Library,Auckland District Health Board - Starship Children's Health,http://www.starship.org.nz,"Auckland
New Zealand","Private Bag 92024
Auckland
New Zealand",ssfis@adhb.govt.nz,+64 9 307 4955,false,false,false,TBA,,,Susan Cato-Symonds,+64 9 307 4955,SusanCS@adhb.govt.nz,
AIST,NZACI,Tertiary,Library,Auckland Institute of Studies,https://www.ais.ac.nz/student-life/library,"28A Linwood Avenue,
Mount Albert,
Auckland 1025,
New Zealand","28A Linwood Avenue,
Mount Albert,
Auckland 1025,
New Zealand",ais-library@ais.ac.nz,+64 9 815 1717 ext 869,true,true,true,Charter,Neda Zdravkovic,nedaz@ais.ac.nz,,,,Last updated: 5/12/2023
ALR,NZALR,Special,Library,Auckland Landcare Research Library,http://www.landcareresearch.co.nz/publications/library/,"231 Morrin Road
Tamaki
Auckland 1072
New Zealand","231 Morrin Road
Tamaki
Auckland 1072
New Zealand",library@landcareresearch.co.nz,+64 9 574 4142,true,true,true,Charter,,,Jamie Blackman,+64 9 574 4142,library@landcareresearch.co.nz,Accepts copy requests from individuals.
AP,NZAUC,Public,Library,Auckland Libraries,http://www.aucklandlibraries.govt.nz,"Central City Library
44-46 Lorne Street
Auckland 1010
New Zealand","PO Box 4138
Shortland Street
Auckland 1140
New Zealand",interloans@aucklandcouncil.govt.nz,+64 9 377 0209,true,true,true,Charter,Catherine Leonard,Catherine.Leonard@aucklandcouncil.govt.nz,CJ Simmons,+64 9 307 7742,interloans@aucklandcouncil.govt.nz,Last updated: 15/07/2022
APMRL,AUALC,Public,Library,Auckland Libraries Corporate Information Service,http://www.aucklandlibraries.govt.nz,"Level 13, Auckland House
135 Albert Street
Auckland 1010
New Zealand","Private Bag 92300
Auckland 1142
New Zealand",corporatelibrary@aucklandcouncil.govt.nz,+64 0212257928,true,true,true,Charter,Kate Innes-Monsalve,corporatelibrary@aucklandcouncil.govt.nz,Sue Barnaby,+64 0212257928,corporatelibrary@aucklandcouncil.govt.nz,Requests for Auckland City Library material are processed by AP.
AR,NZAWM,Special,Library,Auckland Museum,https://www.aucklandmuseum.com/discover/library,"Domain Drive
Parnell
Auckland 1052
New Zealand","Private Bag 92018
Victoria St West
Auckland 1142
New Zealand",interloans@aucklandmuseum.com,+64 9 309 0443,true,true,true,Charter,Victoria Passau,interloans@aucklandmuseum.com,Madeleine Williamson,+64 9 309 0443,interloans@aucklandmuseum.com,
ATU,Z5A,Tertiary,Library,Auckland University of Technology,https://library.aut.ac.nz/,"55-57 Wellesley Street East
Auckland 1010
New Zealand","Private Bag 92006
Auckland 1142
New Zealand",interloans@aut.ac.nz,+64 9 921 9002,true,true,true,Charter,Kim Tairi,kim.tairi@aut.ac.nz,Deidre Ashton,+64 9 921 9002,interloans@aut.ac.nz,Last updated: 23/09/2025
AYO,NAYO,,Music hire,Auckland Youth Orchestra,www.ayo.org.nz,"Auckland 1149
New Zealand","PO Box 99830
Newmarket
Auckland 1149
New Zealand",ayo@ayo.org.nz,000 000,false,false,false,TBA,AYO Hire,ayo@ayo.org.nz,,,,
ABP,,Special,Library,Babbage Consultants Ltd,,"109 Fanshawe Street
Auckland
New Zealand","PO Box 2027
Auckland
New Zealand",admin@babbage.co.nz,+64 9 379 9980,false,false,false,Non-charter,Tammy Ashley,admin@babbage.co.nz,Interloans Contact,+64 9 379 9980,admin@babbage.co.nz,Architectural engineering documents & standards
WBC,NWBC,,Music hire,Bach Choir of Wellington,http://www.bachchoir.wellington.net.nz,"169 Onslow Road
Khandallah
Wellington 6035
New Zealand","PO Box 514
Wellington 6140
New Zealand",climo@ihug.co.nz,+64 4 479 3599,false,false,false,TBA,WBC Hire,climo@ihug.co.nz,,,,Other main number:  021 881 990
ABCS,ABCS,,Music hire,Bach Musica NZ,www.bachmusica.com,"8A Miri Rd Auckland
Rothesay Bay
Auckland 630","PO Box 5767
Wellesley St
Auckland 1141",admin@bachmusica.com,+64  9 309 2224,false,false,false,TBA,ABCS Hire,admin@bachmusica.com,,,,
ABAL,NZBDW,Special,Library,Baldwins Intellectual Property (Akl) Library,http://www.baldwins.com,"Level 15, HSBC Building
1 Queen Street
Auckland 1010
New Zealand","PO Box 5999
Wellesley Street
Auckland 1141
New Zealand",Information.Services@baldwins.com,+64 9 373 3137 x 9729,true,false,false,TBA,Louisa-Dawn Kiddie,Information.Services@baldwins.com,Jessica Kelly,+64 9 373 3137 x 9729,Information.Services@baldwins.com,
WBAL,NZBLD,Special,Library,Baldwins Intellectual Property (WN),http://www.baldwins.com,"Level 15, HSBC Building
1 Queen Street
Auckland 1010
New Zealand","PO Box 5999
Wellesley Street
Auckland 1142
New Zealand",email@baldwins.com,+64 9 373 3137,true,false,false,TBA,,,,,,
WMMS,WMMS,,Music hire,Bay of Islands Singers,,"197 Inlet Road
Kerikeri 230
New Zealand","197 Inlet Road
Kerikeri 230
New Zealand",hugos@kinect.co.nz,+64 9 407 8943,false,false,false,TBA,WMMS Hire,hugos@kinect.co.nz,,,,"Vice President - Sylvia Burch, 767 Inlet Road, Kerikeri. ph 09 4074582  Librarian ph 09 4078943."
BOPM,NZBPM,Special,Library,"Te Whatu Ora - Health New Zealand, Hauora a Toi Bay of Plenty",,"Tauranga Hospital Library,
Hauora a Toi Bay of Plenty,
829 Cameron Road,
Tauranga South 3112,
New Zealand","Private Bag 12024,
Tauranga 3143",library@bopdhb.govt.nz,+64 7 579 8687,true,true,true,Charter,,,Jude Cosson,+64 7 306 0819,jude.cosson@bopdhb.govt.nz,Last updated: 6/12/2024
WBG,NZWBG,Special,Library,Bell Gully (WN),http://www.bellgully.com,"Bell Gully Building
Level 4/40 Lady Elizabeth Lane
Pipitea
Wellington 6011
New Zealand","PO Box 1291
Wellington 6011
New Zealand",bgis@bellgully.com,+64 4 473 7777,true,false,false,TBA,Corinna deWolff,Corinna.deWolff@bellgully.com,Corinna deWolff,+64 4 473 7777,Corinna.deWolff@bellgully.com,Last updated: 7/07/2025
ABG,NZABG,Special,Library,Bell Gully (Akl),http://www.bellgully.com,"Deloitte Centre
14/1 Queen Street
Auckland CBD
Auckland 1010
New Zealand","PO Box 4199
Auckland 1140
New Zealand",bgis@bellgully.com,+64 9 916 8800,true,false,false,TBA,Stephanie Colling,Stephanie.Colling@bellgully.com,,,,Welcomes speculative journal requests.
TAUT,NZTAU,Tertiary,Library,Bethlehem Tertiary Institute,http://bethlehem.ac.nz.libguides.com/content.php?pid=82994,"24 Elder Lane
Tauranga 3143
New Zealand","Private Bag 12015
Tauranga 3143
New Zealand",library@bti.ac.nz,+64 7 562 2902,true,true,true,Non-charter,David Osman,d.osman@bti.ac.nz,David Osman,+64 7 562 2902,d.osman@bti.ac.nz,
AMAR,NZMAR,Special,Library,"Bill Laxon Maritime Library, New Zealand Maritime Museum",http://www.maritimemuseum.co.nz,"New Zealand Maritime Museum
Hobson Wharf, cnr Hobson and Quay Streets
Auckland 1010
New Zealand","New Zealand Maritime Museum
P O Box 3141
Auckland 1140
New Zealand",danielle@maritimemuseum.co.nz,+64 9 373 0800,true,false,false,TBA,Danielle Carter,danielle@maritimemuseum.co.nz,Danielle Carter,+64 9 373 0800,danielle@maritimemuseum.co.nz,
AFB,NZAFB,Special,Library,Blind Low Vision NZ,http://www.blindlowvision.org.nz,"Awhina House, 4 Maunsell Road
Parnell
Auckland 1052
New Zealand","Private Bag 99 941
Newmarket
Auckland 1149
New Zealand",library@blindlowvision.org.nz,+64 0800 24 33 33,false,false,false,TBA,Nigel Waring,nwaring@blindlowvision.org.nz,,,,Last updated: 3/04/2023.
ABM,,Special,Library,Boffa Miskell,http://www.boffamiskell.co.nz,New Zealand,"P.O. Box 11-340
Wellington 6142
New Zealand",intranet@boffamiskell.co.nz,+64 4 385 9315,false,false,false,Non-charter,Merryn Hedley,intranet@boffamiskell.co.nz,Merryn Hedley,+64 4 385 9315,intranet@boffamiskell.co.nz,
WBU,NZWBU,Special,Library,BRANZ Ltd,https://www.branz.co.nz/library/,"1222 Moonshine Road
Judgeford
Porirua 5381
New Zealand","Private Bag 50 908
Porirua 5240
New Zealand",suzannelester@branz.co.nz,+64 4 237 1170,true,true,true,Charter,Suzanne Lester,suzanne.lester@branz.co.nz,Andries Labuschagne,+64 4 237 1170,andrieslabuschagne@branz.co.nz,
WBF,NZWBF,Special,Library,Buddle Findlay (WN),http://www.buddlefindlay.com,"Aon Centre
1 Willis Street
Wellington 6011
New Zealand","PO Box 2694
DX SP 20201
Wellington 6140
New Zealand",BFlibrary@buddlefindlay.com,+64 4 499 4242,true,true,true,Non-charter,Rosemarie Rogers,rosemarie.rogers@buddlefindlay.com,Rosemarie Rogers,+64 4 499 4242,rosemarie.rogers@buddlefindlay.com,Last updated: 12/11/2024
ABF,NZABF,Special,Library,Buddle Findlay (Akl),http://www.buddlefindlay.com,"PricewaterhouseCoopers Tower
188 Quay Street
Auckland 1010
New Zealand","PO Box 1433
Auckland 1010
New Zealand",BFLibrary@buddlefindlay.com,+64 9 358 2555,true,true,true,Non-charter,Louise Bailey,louise.bailey@buddlefindlay.com,Louise Bailey,+64 9 358 2555,louise.bailey@buddlefindlay.com,
WEP,NZWEP,Public,Library,Buller District Libraries,http://buller.kotui.org.nz,"87- 89 Palmerston St
Westport 7825
New Zealand","87- 89 Palmerston St
Westport 7825
New Zealand",library@bdc.govt.nz,+64 3 788 8030,true,true,true,Charter,Nicky Meadowcroft,nicky.meadowcroft@bdc.govt.nz,Cath Hemmings,,cath.hemmings@bdc.govt.nz,
LS,I5D,Special,Library,Callaghan Innovation - closed 2025,,,,,,false,false,false,TBA,,,,,,
WCS,NZWCS,Special,Library,Cancer Society Wellington Library,,"52 Riddiford Street
Newtown
Wellington Wellington 6021
New Zealand","The Cancer Society, Wellington Division
52 Riddiford Street
Wellington Wellington 6021
New Zealand",jennid@cancersoc.org.nz,+64 21 191 1965,false,false,false,TBA,Jenni Drew,jennid@cancersoc.org.nz,,,,
HC,NZHC,,Music hire,Cantando Choir,http://www.cantando.org.nz,"6 Cotter Place
Waikato Mail Centre
Hamilton 3216
New Zealand","PO Box 1534
Waikato Mail Centre
Hamilton 3240
New Zealand",violistb@gmail.com,+64 7 856 8418,false,false,false,TBA,HC Hire,violistb@gmail.com,,,,Beverley Underwood (Librarian) 027-207-9402
WCAN,NZCT,,Music hire,Cantate,,"99 Miramar Avenue
Wellington 6022","99 Miramar Avenue
Wellington 6022",m_jp_potter@xtra.co.nz,+64 4 388 4543,false,false,false,TBA,WCAN MusicHire,m_jp_potter@xtra.co.nz,,,,Judith Potter (Music Director)
CM,NZCMD,Special,Library,Canterbury Medical Library,http://www.otago.ac.nz/christchurch/library/,"2 Riccarton Avenue
Christchurch 8011
New Zealand","PO Box 4345
Christchurch 8140
New Zealand",librarycml.uoc@otago.ac.nz,+64 3 364 0500,true,false,false,TBA,Kareen Carter,kareen.carter@otago.ac.nz,Interloans Contact,+64 3 364 0500,librarycml.uoc@otago.ac.nz,See University of Otago for interloans
CPHI,CPHI,,Music hire,Canterbury Philharmonia Inc.,www.canterburyphilharmonia.org.nz,"59 Warren Crescent
Hillmorton
Christchurch 8025
New Zealand","59 Warren Crescent
Hillmorton
Christchurch 8025
New Zealand",sally.botur@gmail.com,+64 3 3381 097,false,false,false,TBA,CPHI Hire,sally.botur@gmail.com,,,,Sally Botur (Librarian) 021 127 6419  Other contact details:  Bridget Beck (Secretary) 03 357 9542
WC,NZWC,,Music hire,Cantoris,,"31 Woodmancote Rd
Khandallah
Wellington 6035
New Zealand","31 Woodmancote Rd
Khandallah
Wellington 6035
New Zealand",loretta.lander@xtra.co.nz,+64 4 479 2542,false,false,false,TBA,WC Hire,loretta.lander@xtra.co.nz,,,,"Other main number: +64 4 383 7953    Other contact details:  208B Clyde St, Island Bay, Wellington  hcampbell404@gmail.com"
AMS,NAMS,,Music hire,Cantorum,https://cantorum.nz/,"47a Williamson Avenue
Belmont
Auckland 622
New Zealand","47a Williamson Avenue
Belmont
Auckland 622
New Zealand",katinstrall@yahoo.com,+64 21 842 837,false,false,false,TBA,AMS Hire,katinstrall@yahoo.com,,,,
WCAP,WCAP,,Music hire,Capital Choir,Capitalchoir.wordpress.com,"20B Willoughby Street
Lower Hutt 5010","20B Willoughby Street
Lower Hutt 5010",capitalchoir@gmail.com,+64 0 000 000,false,false,false,TBA,WCAP Hire,capitalchoir@gmail.com,,,,
ABT,NZABT,Tertiary,Library,Carey Baptist College,http://www.carey.ac.nz/library,"473 Great South Road
Penrose
Auckland 1061
New Zealand","PO Box 12 149
Penrose
Auckland 1642
New Zealand",library@carey.ac.nz,+64 9 526 0347,true,true,true,Charter,Siong Ng,siong.ng@carey.ac.nz,Liz Tisdall,+64 9 526 0347,library@carey.ac.nz,
CAP,NZCAP,Public,Library,Carterton District Library,https://www.wls.org.nz/,"50 Holloway Street
Carterton 5713
New Zealand","50 Holloway Street
Carterton 5713
New Zealand",library@cdc.govt.nz,+64 6 379 4080,true,true,true,TBA,Louise Dowdell,louise@wls.org.nz,,,,
NECA,NZNEC,Special,Library,Cawthron Institute Library,http://www.cawthron.org.nz,"98 Halifax Street East
Nelson
Nelson 7010
New Zealand","Private Bag 2
Nelson 7040
New Zealand",Andrea.Mead@cawthron.org.nz,+64 3 548 2319,true,false,false,TBA,Andrea Mead,Andrea.Mead@cawthron.org.nz,Andrea Mead,+64 3 548 2319,Andrea.Mead@cawthron.org.nz,
WCC,NZWCC,Special,Library,CCS Disability Action Information Service,http://www.ccsdisabilityaction.org.nz,"30 Portsmouth Drive
Dunedin 9012
New Zealand","PO Box 2147
South Dunedin
Dunedin 9044
New Zealand",info@ccsdisabilityaction.org.nz,0800 227 200 (option 2),true,true,true,Charter,Krissy Wright,Krissy.Wright@ccsdisabilityaction.org.nz,Interloans Contact,,info@ccsdisabilityaction.org.nz,
HAWP,NZHAP,Public,Library,Central Hawkes Bay District Libraries,https://www.chblibrary.nz/,"High Street
Waipawa 4210
New Zealand","Central Hawkes Bay District Council
P O Box 127
Waipawa 4240
New Zealand",library@chbdc.govt.nz,+64 6 857 8123,true,true,true,Charter,Bridget Cover,bridget.cover@chbdc.govt.nz,Anna Scott,+64 6 857 8123,library@chbdc.govt.nz," Interloans for Waipawa Branch can be couriered direct to High St, Waipawa 4210"
ALP,NZALP,Public,Library,Central Otago District Libraries,http://codc-qldc.govt.nz/,"43 Tarbert Street
Alexandra 9320
New Zealand","PO Box 274
Alexandra 9340
New Zealand",Alexandra.Library@codc.govt.nz,+64 3 448 9412,true,true,true,Charter,Emma Sherie,emma.sherie@codc.govt.nz,Christine Gourley,+64 3 448 9412,christine.gourley@codc.govt.nz,
SOUNZ,SOUN,,Music hire,Centre for New Zealand Music,http://www.sounz.org.nz,"Level 3, Toi Poneke Arts Centre
61 Abel Smith Street
Wellington 6011
New Zealand","PO Box 27347
Marion Square
Wellington 6141
New Zealand",info@sounz.org.nz,+64 4 801 8602,false,false,false,TBA,SOUNZ Hire,info@sounz.org.nz,,,,
WCT,NZWCT,Special,Library,Chapman Tripp (WN),www.chapmantripp.com,"20 Customhouse Quay
Level 5
Wellington 6011
New Zealand","PO Box 993
Wellington 6140
New Zealand",louise.martin@chapmantripp.com,+64 4 499 5999,true,true,false,Charter,Louise Martin,louise.martin@chapmantripp.com,Louise Martin,+64 4 499 5999,louise.martin@chapmantripp.com,Last updated: 3/08/2022
WAC,NZWAC,Special,Library,Chartered Accountants Australia and New Zealand,charteredaccountantsanz.com,"Chartered Accountants House
50 Customhouse Quay
Wellington 6011
New Zealand","PO Box 11 342
Manners Street
Wellington 6142
New Zealand",library@charteredaccountantsanz.com,+64 4 474 7840,true,false,false,TBA,,,Alex Johnson,+64 4 474 7840,library@charteredaccountantsanz.com,
LJC,,,Music hire,Choir of the Church of St James,,"2 Miro Street
Woburn
Lower Hutt 5010
New Zealand","2 Miro Street
Woburn
Lower Hutt 5010
New Zealand",lyndavid@paradise.net.nz,+64 4 938 1686,false,false,false,TBA,LJC Hire,lyndavid@paradise.net.nz,,,,"Other main phone:  021 253 4131    Other contact details:  2 Rangiora Street, Woburn, Lower Hutt 5010  Ph: 04 566 0749  E: pegdick@xtra.co.nz"
CCC,NCCC,,Music hire,Christchurch City Choir,www.citychoir.co.nz,"PO Box 1652
Christchurch 8140
New Zealand","PO Box 1652
Christchurch 8140
New Zealand",info@citychoir.co.nz,+64 3 348 0228,false,false,false,TBA,CCC Hire,info@citychoir.co.nz,,,,
CP,NZCPL,Public,Library,Christchurch City Libraries,http://christchurchcitylibraries.com,"60 Cathedral Square
Christchurch 8011
New Zealand","P O Box 73045
Christchurch 8154
New Zealand",library@ccc.govt.nz,+64 3 941 7923,true,true,true,Charter,Rosie Levi,rosie.levi@ccc.govt.nz,Trudy Heney,+64 3 941 7923,interloans.library@ccc.govt.nz,Last updated: 24/10/2025
CCMC,CCMC,,Music hire,Christchurch Civic Music Council,www.musiccanterbury.co.nz,"Addington Brass Band Room
Unit 1
Christchurch 8240
New Zealand","P O Box 7633
Sydenham
Christchurch 8240
New Zealand",cmc@netaccess.co.nz,+64 3 339 8885,false,false,false,TBA,CCMC Hire,cmc@netaccess.co.nz,,,,"Due to earthquake damage, Christchurch Civic Music Council is currently not able to hire its music to any other  group"
CCP,,Special,Library,Christchurch Press,,"Private Bag 4722
Christchurch
New Zealand","Private Bag 4722
Christchurch
New Zealand",library@press.co.nz,+64 3 364 8494 x 691,false,false,false,TBA,Myles McIntyre,myles.mcintyre@press.co.nz,Myles McIntyre,+64 3 364 8494 x 691,myles.mcintyre@press.co.nz,
NEPH,,,Music hire,Chroma Chamber Choir,,"Nelson Nelson-Marlborough
New Zealand","Nelson Nelson-Marlborough
New Zealand",hrwinwood@gmail.com,+64 21 063 8589,false,false,false,TBA,NEPH Hire,hrwinwood@gmail.com,,,,
DSC,NDSC,,Music hire,City Choir Dunedin,www.citychoirdunedin.org.nz,"PO Box 5464
Dunedin
Dunedin 9058
New Zealand","PO Box 5464
Dunedin 9058
New Zealand",library@citychoirdunedin.org.nz,+64 3 476 4336,false,false,false,TBA,DSC Hire,library@citychoirdunedin.org.nz,,,,"Contact: Maud Schroeder (Librarian), Leta Labuschagne (Chair), 027 684 4118, info@citychoirdunedin.org.nz"
LCAA,NZLCA,Special,Library,Civil Aviation Authority Information Services,http://www.caa.govt.nz,"Level 15
Asteron Centre
Wellington 6011
New Zealand","P O Box 3555
Wellington 6140
New Zealand",library@caa.govt.nz,+64 4 560 9400,true,false,false,TBA,Claire Mistry,library@caa.govt.nz,Claire Mistry,+64 4 560 9400,library@caa.govt.nz,
BALP,NZBAL,Public,Library,Clutha District Libraries,https://libraries.cluthadc.govt.nz/,"23 John Street
Balclutha 9230
New Zealand","23 John Street
Balclutha 9230
New Zealand",clutha.library@cluthadc.govt.nz,+64 3 418 1677,true,true,true,Charter,Debbie Duncan,debbie.duncan@cluthadc.govt.nz,Interloan Librarian,+64 3 418 1677,interloans@cluthadc.govt.nz,Last updated: 5/02/2025
WCOM,NZWCO,Special,Library,Commerce Commission,http://www.comcom.govt.nz,"Level 6
44 The Terrace
Wellington 6011
New Zealand","PO Box 2351
Wellington 6140
New Zealand",research@comcom.govt.nz,+64 4 924 3600,false,false,false,TBA,Hilda Wadham,research@comcom.govt.nz,Hilda Wadham,+64 4 924 3600,research@comcom.govt.nz,
WPOR,NZWPO,Special,Library,Concrete New Zealand,https://www.concretenz.org.nz,"Level 4 / 70 The Terrace
Wellington 6011
New Zealand","PO Box 448
Wellington 6140
New Zealand",admin@concretenz.org.nz,+64 4 499 8820,true,false,false,TBA,Adam Leach,admin@concretenz.org.nz,Interloans Contact,+64 4 499 8820,admin@concretenz.org.nz,
WCN,,Special,Library,Consumer NZ,http://www.consumer.org.nz,"L1
204 Thorndon Quay
Wellington 6011
New Zealand","Private Bag 6996
Marion Square
Wellington 6141
New Zealand",library@consumer.org.nz,+64 4 384 7963,true,false,false,TBA,Judith Burns,library@consumer.org.nz,Research Librarian Contact,+64 4 384 7963,library@consumer.org.nz,Library staffed 8 hours per week only  8.00-12.00 Monday & Thursday
OTM,NZOTM,Special,Library,"Te Whatu Ora - Health New Zealand, Counties Manukau Library",,"Hospital Road
Otahuhu
Auckland 1640
New Zealand","Private Bag 93 311
Otahuhu
Auckland 1640
New Zealand",interloans@middlemore.co.nz,+64 9 276 0172,true,true,true,Charter,Sally Simpson,sally.simpson@tewhatuora.govt.nz,Nadine Mandaly,+64 9 276 0172,nadine.mandaly@middlemore.co.nz,
WCFR,NZWCF,Special,Library,Crown Forestry Rental Trust,http://www.cfrt.org.nz,"Level 12 CallActive House
15 Willeston  St
Wellington 6011
New Zealand","Level 12 CallActive House
15 Willeston  St
Wellington 6011
New Zealand",micky.reilly@cfrt.org.nz,+64 4 915 1500,false,false,false,Non-charter,Micky Reilly,micky.reilly@cfrt.org.nz,Micky Reilly,+64 4 915 1500,micky.reilly@cfrt.org.nz,
WCR,NZCLO,Special,Library,Crown Law Office,www.crownlaw.govt.nz,"Level 3,
Justice Centre,
19 Aitken Street,
Wellington 6011,
New Zealand","PO Box 2858,
Wellington 6140,
New Zealand",library@crownlaw.govt.nz,+64 4 472 1719,true,true,false,Charter,Lisa Wallbank,lisa.wallbank@crownlaw.govt.nz,Elizabeth Larkworthy,+64 4 472 1719,elizabeth.larkworthy@crownlaw.govt.nz,Directory updated: 3/10/2024
AGP,NZAGP,Special,Library,Defence Technology Agency,,"HMNZ Naval Base
Devonport
Auckland 624
New Zealand","Private Bag 32 901
Devonport
Auckland 624
New Zealand",library@dta.mil.nz,+64 9 445 5860,true,false,false,TBA,Nicholas Carman,nicholas.carman@nzdf.mil.nz,Nicholas Carman,+64 9 445 5860,nicholas.carman@nzdf.mil.nz,
WDT,,Special,Library,Deloitte Information Service,www.deloitte.co.nz,"Deloitte House Levels 11-16
10 Brandon Street
Wellington 6011
New Zealand","PO Box 1990
Wellington 6140
New Zealand",nzinfocentral@deloitte.co.nz,+64 4 470 3636,true,false,false,TBA,Keryn McPherson,kmcpherson@deloitte.co.nz,Interloans,+64 4 470 3636,nzinfocentral@deloitte.co.nz,Speculative requests welcome
WCO,NZDOC,Special,Library,Department of Conservation,http://www.doc.govt.nz,"Conservation House
18-32 Manners Street
Wellington 6011
New Zealand","PO Box 10420
The Terrace
Wellington 6143
New Zealand",informationservices@doc.govt.nz,+64 27 408 3527,true,true,true,Charter,Judit Farquhar-Nadasi,jnadasi@doc.govt.nz,Interloans Contact,+64 27 408 3527,informationservices@doc.govt.nz,
